,mean,std,min,max,lower_bound,upper_bound
sharpe,2.166419322975244,0.3118408755402624,0.999593652569873,2.93458553485594,2.104231608000709,2.2286070379497795
sortino,4.6466893937078995,0.8285949322550775,1.8757113810447266,7.129091908624536,4.4814499093486075,4.811928878067191
calmar,5.537940010108343,1.1048480790306345,1.9902234228524254,8.381010324300428,5.317609762157738,5.758270258058949
r2,0.9424825810283167,0.033145334106847626,0.7548383355773158,0.9783150445689542,0.9358726951799612,0.9490924668766723
max_drawdown,-0.17553824302288532,0.013807033195930022,-0.23248980028677116,-0.144636007922434,-0.17829165962853355,-0.17278482641723708
final_value,5.1029941528402745,1.4824676015375895,1.7667054787021972,10.894770488558864,4.807358526164709,5.39862977951584
