date,symbol,open,high,low,close,target,signal,temp_fc_d_minus1,temp_fc_d,temp_ac_d_plus1,temp_sn_d_minus1,temp_sn_d,temp_sn_d_plus1,CompositeWeatherVariableForecastLDZ(NW),CompositeWeatherVariableForecastLDZ(SC),CompositeWeatherVariableForecastLDZ(SE),WeatherCorrectionFactorForecast(NW),WeatherCorrectionFactorForecast(SC),WeatherCorrectionFactorForecast(SE),closing_linepack_actual,opening_linepack_actual,linepack_hourly_agg_d_plus1,predicted_closing_linepack,demand_cold,demand_warm,demand_actual_ntsd_plus1,demand_forecast_confidence_interval,demand_forecast_nts,demand_ntssn,demand_diff,demand_avg,demand_forecast_error,demand_nts_spread,HDD,CDD,demand_lag1,demand_lag7,dow,dow_0,dow_1,dow_2,dow_3,dow_4,dow_5,dow_6,is_weekend,friday_startup,sin7,cos7,is_holiday,temp_dev_fc_minus1,temp_dev_fc,temp_dev_fc_plus1,lp_closing_diff,lp_closing_pred_error,combo_signal,volatility,trend,vol_regime,trend_regime,atr,portfolio,exposure
2024-04-01,SAP,2.3396,2.3396,2.3396,1.5919,0.01997612915384117,0,8.82244,8.71849,8.83652,8.02,8.02,8.02,7.65,6.84,9.83,0.44,0.46,0.75,349.29104391598634,350.9064704823386,347.52,349.5301520290194,260.912752460909,146.351970519091,1763143965.0,9.24,197.10120120883357,240.863822397742,-114.56078194181802,203.63236149,1763143767.8987987,-43.76262118890844,56.28151,0.0,2.1964,2.2229,0,True,False,False,False,False,False,False,0,0.0,0.0,1.0,0,0.8024400000000007,0.6984899999999996,0.8165200000000006,-1.6154265663522551,-0.239108113033069,0.571638457363154,,,low,up,,1.0,0.0
2024-04-02,SAP,2.2736,2.2736,2.2736,1.6237,0.0008622282441337337,1,9.10708,9.09027,9.12856,8.08,8.08,8.08,8.34,6.67,10.17,1.05,0.2,1.03,348.89643590129464,349.29104391598634,348.18,349.2001745052892,260.524838878545,145.103574733818,1848161338.0,9.24,197.642062190416,242.581268398722,-115.42126414472699,202.8142068061815,1848161140.3579378,-44.93920620830599,55.909729999999996,0.0,1.5919,2.2285,1,False,True,False,False,False,False,False,0,0.0,0.7818314824680298,0.6234898018587336,0,1.0270799999999998,1.0102700000000002,1.0485600000000002,-0.39460801469169837,-0.30373860399458863,0.8728208717215757,,,low,up,,1.0,0.5
2024-04-03,SAP,2.1472,2.1472,2.1472,1.6251,-0.009476339917543597,1,9.29775,9.13696,9.24557,8.14,8.14,8.14,8.11,6.08,10.43,0.76,-0.5,1.24,346.98746742901665,348.89643590129464,347.34,347.1832904012121,258.769801036,143.342984964,1722956829.0,9.24,187.9539531109085,243.472604866343,-115.42681607199998,201.056393,1722956641.046047,-55.51865175543452,55.86304,0.0,1.6237,2.374,2,False,False,True,False,False,False,False,0,0.0,0.9749279121818236,-0.22252093395631434,0,1.15775,0.9969599999999996,1.1055700000000002,-1.9089684722779907,-0.19582297219545808,1.0626368901522805,,,low,up,,0.9952618300412281,0.5
2024-04-04,SAP,2.1333,2.1333,2.1333,1.6097,-0.06050816922407898,1,9.84946,9.73518,9.86231,8.23,8.23,8.23,9.05,6.06,11.25,1.61,-0.64,1.98,344.2490058649548,346.98746742901665,342.99,345.9786896533773,257.080091274545,141.645261732727,1804961866.0,9.24,195.52675017029844,241.969531385506,-115.434829541818,199.362676503636,1804961670.47325,-46.44278121520756,55.26482,0.0,1.6251,2.1879,3,False,False,False,True,False,False,False,0,0.0,0.43388373911755823,-0.900968867902419,0,1.6194600000000001,1.5051799999999993,1.6323100000000004,-2.738461564061822,-1.7296837884224487,0.5519472116638722,,,low,up,,0.9651510944240276,0.5
2024-04-05,SAP,2.1673,2.1673,2.1673,1.5123,-0.0381538054618793,1,10.8919,10.8716,11.0062,8.33,8.33,8.33,10.3,5.51,12.28,2.77,-1.29,2.93,344.7926751096236,344.2490058649548,343.66,347.9590058649548,255.535512224182,140.243326410545,1608920780.0,9.24,189.8839475453948,242.496095334945,-115.29218581363702,197.8894193173635,1608920590.1160524,-52.61214778955022,54.1284,0.0,1.6097,2.3034,4,False,False,False,False,True,False,False,0,0.5,-0.433883739117558,-0.9009688679024191,0,2.5618999999999996,2.5416000000000007,2.6761999999999997,0.543669244668763,-3.1663307553312166,0.7505487488033952,,,low,up,,0.9467390008750405,0.5
2024-04-06,SAP,2.1956,2.1956,2.1956,1.4546,0.08263440120995469,1,11.9178,12.0244,12.133,8.44,8.44,8.44,11.13,8.2,13.4,3.5,1.3,3.93,346.8591144919721,344.7926751096236,345.8,345.45929260600064,247.170044159636,136.713688895636,1638467055.0,9.24,186.23671823421424,238.193706617744,-110.456355264,191.94186652763602,1638466868.7632818,-51.95698838352976,52.9756,0.0,1.5123,2.2206,5,False,False,False,False,False,True,False,1,0.0,-0.9749279121818236,-0.2225209339563146,0,3.4778000000000002,3.5844000000000005,3.6929999999999996,2.0664393823485057,1.3998218859714484,0.7630951433913302,0.031946381251262625,,low,up,0.025795334400295356,0.9858556060947503,0.5
2024-04-07,SAP,2.2359,2.2359,2.2359,1.5748,-0.05715011430022865,1,11.3172,11.4134,11.5096,8.59,8.59,8.59,10.33,8.26,12.75,2.56,1.25,3.12,346.904198893356,346.8591144919721,346.19,346.13544671612715,242.858478311818,133.472387655636,1592364629.0,9.24,178.26316455607966,233.908738785365,-109.386090656182,188.165432983727,1592364450.7368355,-55.64557422928533,53.586600000000004,0.0,1.4546,2.1964,6,False,False,False,False,False,False,True,1,0.0,-0.7818314824680299,0.6234898018587334,0,2.7272,2.8233999999999995,2.919600000000001,0.04508440138391734,0.7687521772288619,0.8341988663584982,0.0545767752889856,0.012531654411222703,high,up,0.03832698881151806,0.9576847258088322,0.5
2024-04-08,SAP,2.2858,2.2858,2.2858,1.4848,-0.01151670258620685,1,11.403,11.2612,11.313,8.73,8.73,8.73,10.6,8.37,12.54,2.69,1.27,2.76,342.75161495367314,346.904198893356,341.55,343.6800168385913,264.051550804727,148.307670786909,1625594604.0,9.24,185.13942414756545,253.165767159073,-115.74388001781801,206.179610795818,1625594418.860576,-68.02634301150755,53.7388,0.0,1.5748,1.5919,0,True,False,False,False,False,False,False,0,0.0,0.0,1.0,0,2.673,2.5312,2.583,-4.15258393968287,-0.9284018849181734,0.6439224738926513,0.05902328905051337,-0.011602468508872478,high,down,0.049584566022737045,0.9521700407295856,0.5
2024-04-09,SAP,2.2476,2.2476,2.2476,1.4677,-0.03079648429515558,1,9.26131,9.21936,9.32108,8.84,8.84,8.84,7.93,7.36,10.49,-0.1,0.2,0.57,339.59933120030763,342.75161495367314,340.45,339.0358588847122,262.2733058,146.373249714364,1800917183.0,9.24,193.75795660949657,253.349046172148,-115.90005608563601,204.32327775718198,1800916989.2420435,-59.59108956265143,55.78064,0.0,1.4848,1.6237,1,False,True,False,False,False,False,False,0,0.0,0.7818314824680298,0.6234898018587336,0,0.4213100000000001,0.37936000000000014,0.4810800000000004,-3.1522837533655093,0.5634723155954475,0.7904151602044821,0.05896935163416622,-0.00040807253373265073,high,down,0.049992638556469696,0.9375082958767624,0.5
2024-04-10,SAP,2.3082,2.3082,2.3082,1.4225,0.05307557117750439,1,9.67233,9.60952,9.69473,8.93,8.93,8.93,8.74,7.68,10.53,0.61,0.46,0.5,337.4840733589066,339.59933120030763,335.41,339.7173863026315,259.584032920909,143.559555509091,1795461053.0,9.24,205.3261501693765,250.863206509492,-116.024477411818,201.571794215,1795460847.6738498,-45.5370563401155,55.39048,0.0,1.4677,1.6251,2,False,False,True,False,False,False,False,0,0.0,0.9749279121818236,-0.22252093395631434,0,0.7423300000000008,0.6795200000000001,0.7647300000000001,-2.1152578414010463,-2.2333129437249113,0.7280833102819898,0.05483322670407754,0.005942336985784681,high,up,0.04405030157068501,0.9623876900204164,0.5
