Applicable At,Applicable For,Data Item,Value,Generated Time,Quality Indicator
03/02/2025 23:00:00,03/02/2025,"Temperature, Forecast, D",4.69389,03/02/2025 23:30:00,
02/02/2025 23:00:00,02/02/2025,"Temperature, Forecast, D",4.07432,02/02/2025 23:30:00,
01/02/2025 23:00:00,01/02/2025,"Temperature, Forecast, D",3.73989,01/02/2025 23:30:00,
31/01/2025 23:00:00,31/01/2025,"Temperature, Forecast, D",4.40641,31/01/2025 23:30:00,
30/01/2025 23:00:00,30/01/2025,"Temperature, Forecast, D",3.98513,30/01/2025 23:30:00,
29/01/2025 23:00:00,29/01/2025,"Temperature, Forecast, D",4.60776,29/01/2025 23:30:00,
28/01/2025 23:00:00,28/01/2025,"Temperature, Forecast, D",4.85281,28/01/2025 23:30:00,
27/01/2025 23:00:00,27/01/2025,"Temperature, Forecast, D",4.05564,27/01/2025 23:30:00,
26/01/2025 23:00:00,26/01/2025,"Temperature, Forecast, D",3.04634,26/01/2025 23:30:00,
25/01/2025 23:00:00,25/01/2025,"Temperature, Forecast, D",3.90705,25/01/2025 23:30:00,
24/01/2025 23:00:00,24/01/2025,"Temperature, Forecast, D",4.37121,24/01/2025 23:30:00,
23/01/2025 23:00:00,23/01/2025,"Temperature, Forecast, D",2.90685,23/01/2025 23:30:00,
22/01/2025 23:00:00,22/01/2025,"Temperature, Forecast, D",3.00937,22/01/2025 23:30:00,
21/01/2025 23:00:00,21/01/2025,"Temperature, Forecast, D",3.22367,21/01/2025 23:30:00,
20/01/2025 23:00:00,20/01/2025,"Temperature, Forecast, D",3.0961,20/01/2025 23:30:00,
19/01/2025 23:00:00,19/01/2025,"Temperature, Forecast, D",2.14875,19/01/2025 23:30:00,
18/01/2025 23:00:00,18/01/2025,"Temperature, Forecast, D",3.03328,18/01/2025 23:30:00,
17/01/2025 23:00:00,17/01/2025,"Temperature, Forecast, D",4.54731,17/01/2025 23:30:00,
16/01/2025 23:00:00,16/01/2025,"Temperature, Forecast, D",4.83932,16/01/2025 23:30:00,
15/01/2025 23:00:00,15/01/2025,"Temperature, Forecast, D",5.46964,15/01/2025 23:30:00,
14/01/2025 23:00:00,14/01/2025,"Temperature, Forecast, D",4.77427,14/01/2025 23:30:00,
13/01/2025 23:00:00,13/01/2025,"Temperature, Forecast, D",2.31756,13/01/2025 23:30:00,
12/01/2025 23:00:00,12/01/2025,"Temperature, Forecast, D",0.762545,12/01/2025 23:30:00,
11/01/2025 23:00:00,11/01/2025,"Temperature, Forecast, D",0.183986,11/01/2025 23:30:00,
10/01/2025 23:00:00,10/01/2025,"Temperature, Forecast, D",-0.076284,10/01/2025 23:30:00,
09/01/2025 23:00:00,09/01/2025,"Temperature, Forecast, D",0.337999,09/01/2025 23:30:00,
08/01/2025 23:00:00,08/01/2025,"Temperature, Forecast, D",0.786676,08/01/2025 23:30:00,
07/01/2025 23:00:00,07/01/2025,"Temperature, Forecast, D",1.75756,07/01/2025 23:30:00,
06/01/2025 23:00:00,06/01/2025,"Temperature, Forecast, D",2.18097,06/01/2025 23:30:00,
05/01/2025 23:00:00,05/01/2025,"Temperature, Forecast, D",2.87434,05/01/2025 23:30:00,
04/01/2025 23:00:00,04/01/2025,"Temperature, Forecast, D",1.14931,04/01/2025 23:30:00,
03/01/2025 23:00:00,03/01/2025,"Temperature, Forecast, D",2.16005,03/01/2025 23:30:00,
02/01/2025 23:00:00,02/01/2025,"Temperature, Forecast, D",3.15549,02/01/2025 23:30:00,
01/01/2025 23:00:00,01/01/2025,"Temperature, Forecast, D",5.00332,01/01/2025 23:30:00,
31/12/2024 23:00:00,31/12/2024,"Temperature, Forecast, D",6.27237,31/12/2024 23:30:00,
30/12/2024 23:00:00,30/12/2024,"Temperature, Forecast, D",5.5562,30/12/2024 23:30:00,
29/12/2024 23:00:00,29/12/2024,"Temperature, Forecast, D",4.75166,29/12/2024 23:30:00,
28/12/2024 23:00:00,28/12/2024,"Temperature, Forecast, D",4.29782,28/12/2024 23:30:00,
27/12/2024 23:00:00,27/12/2024,"Temperature, Forecast, D",4.83114,27/12/2024 23:30:00,
26/12/2024 23:00:00,26/12/2024,"Temperature, Forecast, D",5.81699,26/12/2024 23:30:00,
25/12/2024 23:00:00,25/12/2024,"Temperature, Forecast, D",6.75242,25/12/2024 23:30:00,
