Applicable At,Applicable For,Data Item,Value,Generated Time,Quality Indicator
02/02/2025 23:00:00,03/02/2025,"Temperature, Forecast, D-1",4.42889,02/02/2025 23:30:00,
01/02/2025 23:00:00,02/02/2025,"Temperature, Forecast, D-1",3.77357,01/02/2025 23:30:00,
31/01/2025 23:00:00,01/02/2025,"Temperature, Forecast, D-1",3.8086,31/01/2025 23:30:00,
30/01/2025 23:00:00,31/01/2025,"Temperature, Forecast, D-1",4.27833,30/01/2025 23:30:00,
29/01/2025 23:00:00,30/01/2025,"Temperature, Forecast, D-1",3.74387,29/01/2025 23:30:00,
28/01/2025 23:00:00,29/01/2025,"Temperature, Forecast, D-1",4.52624,28/01/2025 23:30:00,
27/01/2025 23:00:00,28/01/2025,"Temperature, Forecast, D-1",4.49506,27/01/2025 23:30:00,
26/01/2025 23:00:00,27/01/2025,"Temperature, Forecast, D-1",3.64816,26/01/2025 23:30:00,
25/01/2025 23:00:00,26/01/2025,"Temperature, Forecast, D-1",3.01074,25/01/2025 23:30:00,
24/01/2025 23:00:00,25/01/2025,"Temperature, Forecast, D-1",3.51152,24/01/2025 23:30:00,
23/01/2025 23:00:00,24/01/2025,"Temperature, Forecast, D-1",3.70833,23/01/2025 23:30:00,
22/01/2025 23:00:00,23/01/2025,"Temperature, Forecast, D-1",2.41951,22/01/2025 23:30:00,
21/01/2025 23:00:00,22/01/2025,"Temperature, Forecast, D-1",2.9204,21/01/2025 23:30:00,
20/01/2025 23:00:00,21/01/2025,"Temperature, Forecast, D-1",3.13,20/01/2025 23:30:00,
19/01/2025 23:00:00,20/01/2025,"Temperature, Forecast, D-1",2.75389,19/01/2025 23:30:00,
18/01/2025 23:00:00,19/01/2025,"Temperature, Forecast, D-1",2.3904,18/01/2025 23:30:00,
17/01/2025 23:00:00,18/01/2025,"Temperature, Forecast, D-1",3.25878,17/01/2025 23:30:00,
16/01/2025 23:00:00,17/01/2025,"Temperature, Forecast, D-1",4.35252,16/01/2025 23:30:00,
15/01/2025 23:00:00,16/01/2025,"Temperature, Forecast, D-1",4.76521,15/01/2025 23:30:00,
14/01/2025 23:00:00,15/01/2025,"Temperature, Forecast, D-1",5.31704,14/01/2025 23:30:00,
13/01/2025 23:00:00,14/01/2025,"Temperature, Forecast, D-1",4.33493,13/01/2025 23:30:00,
12/01/2025 23:00:00,13/01/2025,"Temperature, Forecast, D-1",1.96085,12/01/2025 23:30:00,
11/01/2025 23:00:00,12/01/2025,"Temperature, Forecast, D-1",0.722307,11/01/2025 23:30:00,
10/01/2025 23:00:00,11/01/2025,"Temperature, Forecast, D-1",-0.065138,10/01/2025 23:30:00,
09/01/2025 23:00:00,10/01/2025,"Temperature, Forecast, D-1",-0.069779,09/01/2025 23:30:00,
08/01/2025 23:00:00,09/01/2025,"Temperature, Forecast, D-1",0.267677,08/01/2025 23:30:00,
07/01/2025 23:00:00,08/01/2025,"Temperature, Forecast, D-1",1.00686,07/01/2025 23:30:00,
06/01/2025 23:00:00,07/01/2025,"Temperature, Forecast, D-1",1.7649,06/01/2025 23:30:00,
05/01/2025 23:00:00,06/01/2025,"Temperature, Forecast, D-1",2.03898,05/01/2025 23:30:00,
04/01/2025 23:00:00,05/01/2025,"Temperature, Forecast, D-1",3.0482,04/01/2025 23:30:00,
03/01/2025 23:00:00,04/01/2025,"Temperature, Forecast, D-1",1.37648,03/01/2025 23:30:00,
02/01/2025 23:00:00,03/01/2025,"Temperature, Forecast, D-1",2.15111,02/01/2025 23:30:00,
