Applicable At,Applicable For,Data Item,Value,Generated Time,Quality Indicator
03/03/2025 11:40:00,20/02/2025,"SAP, Actual Day",3.8925,03/03/2025 11:41:00,L
03/03/2025 11:40:00,21/02/2025,"SAP, Actual Day",3.7676,03/03/2025 11:41:00,L
03/03/2025 11:40:00,22/02/2025,"SAP, Actual Day",3.7423,03/03/2025 11:41:00,L
03/03/2025 11:40:00,23/02/2025,"SAP, Actual Day",3.735,03/03/2025 11:41:00,L
03/03/2025 11:40:00,24/02/2025,"SAP, Actual Day",3.7267,03/03/2025 11:41:00,L
03/03/2025 11:40:00,25/02/2025,"SAP, Actual Day",3.6955,03/03/2025 11:41:00,L
03/03/2025 11:40:00,26/02/2025,"SAP, Actual Day",3.5205,03/03/2025 11:41:00,L
03/03/2025 11:40:00,27/02/2025,"SAP, Actual Day",3.6586,03/03/2025 11:41:00,L
03/03/2025 11:40:00,28/02/2025,"SAP, Actual Day",3.7412,03/03/2025 11:41:00,L
03/02/2025 11:40:00,01/01/2025,"SAP, Actual Day",4.1922,03/02/2025 11:41:00,L
03/02/2025 11:40:00,02/01/2025,"SAP, Actual Day",4.2649,03/02/2025 11:41:00,L
03/02/2025 11:40:00,03/01/2025,"SAP, Actual Day",4.2724,03/02/2025 11:41:00,L
03/02/2025 11:40:00,04/01/2025,"SAP, Actual Day",4.2522,03/02/2025 11:41:00,L
03/02/2025 11:40:00,05/01/2025,"SAP, Actual Day",4.2089,03/02/2025 11:41:00,L
03/02/2025 11:40:00,06/01/2025,"SAP, Actual Day",4.122,03/02/2025 11:41:00,L
03/02/2025 11:40:00,07/01/2025,"SAP, Actual Day",4.0326,03/02/2025 11:41:00,L
03/02/2025 11:40:00,08/01/2025,"SAP, Actual Day",4.2037,03/02/2025 11:41:00,L
03/02/2025 11:40:00,09/01/2025,"SAP, Actual Day",3.9487,03/02/2025 11:41:00,L
03/02/2025 11:40:00,10/01/2025,"SAP, Actual Day",4.0109,03/02/2025 11:41:00,L
03/02/2025 11:40:00,11/01/2025,"SAP, Actual Day",4.1051,03/02/2025 11:41:00,L
03/02/2025 11:40:00,12/01/2025,"SAP, Actual Day",4.0169,03/02/2025 11:41:00,L
03/02/2025 11:40:00,13/01/2025,"SAP, Actual Day",4.123,03/02/2025 11:41:00,L
03/02/2025 11:40:00,14/01/2025,"SAP, Actual Day",4.1378,03/02/2025 11:41:00,L
03/02/2025 11:40:00,15/01/2025,"SAP, Actual Day",4.1012,03/02/2025 11:41:00,L
03/02/2025 11:40:00,16/01/2025,"SAP, Actual Day",4.0475,03/02/2025 11:41:00,L
03/02/2025 11:40:00,17/01/2025,"SAP, Actual Day",4.1875,03/02/2025 11:41:00,L
03/02/2025 11:40:00,18/01/2025,"SAP, Actual Day",4.2455,03/02/2025 11:41:00,L
03/02/2025 11:40:00,19/01/2025,"SAP, Actual Day",4.3672,03/02/2025 11:41:00,L
03/02/2025 11:40:00,20/01/2025,"SAP, Actual Day",4.3383,03/02/2025 11:41:00,L
03/02/2025 11:40:00,21/01/2025,"SAP, Actual Day",4.3763,03/02/2025 11:41:00,L
03/02/2025 11:40:00,22/01/2025,"SAP, Actual Day",4.3393,03/02/2025 11:41:00,L
03/02/2025 11:40:00,23/01/2025,"SAP, Actual Day",4.3108,03/02/2025 11:41:00,L
03/02/2025 11:40:00,24/01/2025,"SAP, Actual Day",4.2927,03/02/2025 11:41:00,L
03/02/2025 11:40:00,25/01/2025,"SAP, Actual Day",4.2471,03/02/2025 11:41:00,L
03/02/2025 11:40:00,26/01/2025,"SAP, Actual Day",4.2527,03/02/2025 11:41:00,L
03/02/2025 11:40:00,27/01/2025,"SAP, Actual Day",4.1901,03/02/2025 11:41:00,L
03/02/2025 11:40:00,28/01/2025,"SAP, Actual Day",4.1987,03/02/2025 11:41:00,L
03/02/2025 11:40:00,29/01/2025,"SAP, Actual Day",4.4313,03/02/2025 11:41:00,L
03/02/2025 11:40:00,30/01/2025,"SAP, Actual Day",4.4979,03/02/2025 11:41:00,L
03/02/2025 11:40:00,31/01/2025,"SAP, Actual Day",4.5812,03/02/2025 11:41:00,L
01/01/2025 11:40:00,01/12/2024,"SAP, Actual Day",4.0264,01/01/2025 11:41:01,L
01/01/2025 11:40:00,02/12/2024,"SAP, Actual Day",4.1088,01/01/2025 11:41:01,L
01/01/2025 11:40:00,03/12/2024,"SAP, Actual Day",4.1308,01/01/2025 11:41:01,L
01/01/2025 11:40:00,04/12/2024,"SAP, Actual Day",4.0296,01/01/2025 11:41:01,L
01/01/2025 11:40:00,05/12/2024,"SAP, Actual Day",3.9529,01/01/2025 11:41:01,L
01/01/2025 11:40:00,06/12/2024,"SAP, Actual Day",3.9532,01/01/2025 11:41:01,L
01/01/2025 11:40:00,07/12/2024,"SAP, Actual Day",3.9565,01/01/2025 11:41:01,L
01/01/2025 11:40:00,08/12/2024,"SAP, Actual Day",3.9677,01/01/2025 11:41:01,L
01/01/2025 11:40:00,09/12/2024,"SAP, Actual Day",3.877,01/01/2025 11:41:01,L
01/01/2025 11:40:00,10/12/2024,"SAP, Actual Day",3.8236,01/01/2025 11:41:01,L
01/01/2025 11:40:00,11/12/2024,"SAP, Actual Day",3.8132,01/01/2025 11:41:01,L
01/01/2025 11:40:00,12/12/2024,"SAP, Actual Day",3.6692,01/01/2025 11:41:01,L
01/01/2025 11:40:00,13/12/2024,"SAP, Actual Day",3.5546,01/01/2025 11:41:01,L
01/01/2025 11:40:00,14/12/2024,"SAP, Actual Day",3.3634,01/01/2025 11:41:01,L
01/01/2025 11:40:00,15/12/2024,"SAP, Actual Day",3.3434,01/01/2025 11:41:01,L
01/01/2025 11:40:00,16/12/2024,"SAP, Actual Day",3.3317,01/01/2025 11:41:01,L
01/01/2025 11:40:00,17/12/2024,"SAP, Actual Day",3.4344,01/01/2025 11:41:01,L
01/01/2025 11:40:00,18/12/2024,"SAP, Actual Day",3.3886,01/01/2025 11:41:01,L
01/01/2025 11:40:00,19/12/2024,"SAP, Actual Day",3.595,01/01/2025 11:41:01,L
01/01/2025 11:40:00,20/12/2024,"SAP, Actual Day",3.7071,01/01/2025 11:41:01,L
01/01/2025 11:40:00,21/12/2024,"SAP, Actual Day",3.6867,01/01/2025 11:41:01,L
01/01/2025 11:40:00,22/12/2024,"SAP, Actual Day",3.731,01/01/2025 11:41:01,L
01/01/2025 11:40:00,23/12/2024,"SAP, Actual Day",3.8165,01/01/2025 11:41:01,L
01/01/2025 11:40:00,24/12/2024,"SAP, Actual Day",3.8597,01/01/2025 11:41:01,L
01/01/2025 11:40:00,25/12/2024,"SAP, Actual Day",3.8886,01/01/2025 11:41:01,L
01/01/2025 11:40:00,26/12/2024,"SAP, Actual Day",3.9965,01/01/2025 11:41:01,L
01/01/2025 11:40:00,27/12/2024,"SAP, Actual Day",4.0761,01/01/2025 11:41:01,L
01/01/2025 11:40:00,28/12/2024,"SAP, Actual Day",4.1741,01/01/2025 11:41:01,L
01/01/2025 11:40:00,29/12/2024,"SAP, Actual Day",4.1607,01/01/2025 11:41:01,L
01/01/2025 11:40:00,30/12/2024,"SAP, Actual Day",4.1013,01/01/2025 11:41:01,L
01/01/2025 11:40:00,31/12/2024,"SAP, Actual Day",4.1601,01/01/2025 11:41:01,L
02/12/2024 11:40:00,01/11/2024,"SAP, Actual Day",3.3366,02/12/2024 11:41:01,L
02/12/2024 11:40:00,02/11/2024,"SAP, Actual Day",3.2845,02/12/2024 11:41:01,L
02/12/2024 11:40:00,03/11/2024,"SAP, Actual Day",3.3368,02/12/2024 11:41:01,L
02/12/2024 11:40:00,04/11/2024,"SAP, Actual Day",3.4241,02/12/2024 11:41:01,L
02/12/2024 11:40:00,05/11/2024,"SAP, Actual Day",3.4895,02/12/2024 11:41:01,L
02/12/2024 11:40:00,06/11/2024,"SAP, Actual Day",3.4923,02/12/2024 11:41:01,L
02/12/2024 11:40:00,07/11/2024,"SAP, Actual Day",3.5122,02/12/2024 11:41:01,L
02/12/2024 11:40:00,08/11/2024,"SAP, Actual Day",3.6326,02/12/2024 11:41:01,L
02/12/2024 11:40:00,09/11/2024,"SAP, Actual Day",3.6273,02/12/2024 11:41:01,L
02/12/2024 11:40:00,10/11/2024,"SAP, Actual Day",3.5845,02/12/2024 11:41:01,L
02/12/2024 11:40:00,11/11/2024,"SAP, Actual Day",3.7133,02/12/2024 11:41:01,L
02/12/2024 11:40:00,12/11/2024,"SAP, Actual Day",3.7911,02/12/2024 11:41:01,L
02/12/2024 11:40:00,13/11/2024,"SAP, Actual Day",3.7996,02/12/2024 11:41:01,L
02/12/2024 11:40:00,14/11/2024,"SAP, Actual Day",3.9079,02/12/2024 11:41:01,L
02/12/2024 11:40:00,15/11/2024,"SAP, Actual Day",3.947,02/12/2024 11:41:01,L
02/12/2024 11:40:00,16/11/2024,"SAP, Actual Day",3.8819,02/12/2024 11:41:01,L
02/12/2024 11:40:00,17/11/2024,"SAP, Actual Day",3.9012,02/12/2024 11:41:01,L
02/12/2024 11:40:00,18/11/2024,"SAP, Actual Day",3.9786,02/12/2024 11:41:01,L
02/12/2024 11:40:00,19/11/2024,"SAP, Actual Day",3.9832,02/12/2024 11:41:01,L
02/12/2024 11:40:00,20/11/2024,"SAP, Actual Day",3.9872,02/12/2024 11:41:01,L
02/12/2024 11:40:00,21/11/2024,"SAP, Actual Day",4.1083,02/12/2024 11:41:01,L
02/12/2024 11:40:00,22/11/2024,"SAP, Actual Day",4.0185,02/12/2024 11:41:01,L
02/12/2024 11:40:00,23/11/2024,"SAP, Actual Day",3.9188,02/12/2024 11:41:01,L
02/12/2024 11:40:00,24/11/2024,"SAP, Actual Day",3.737,02/12/2024 11:41:01,L
